id,xpos,ypos
0,300.000000,300.000000
1,302.300000,300.000000
2,295.524000,301.698000
3,295.516000,305.843000
4,295.516000,307.806000
5,295.520000,318.056000
6,295.524000,311.928000
7,295.460000,313.910000
8,295.500000,320.009000
9,302.300000,304.916000
10,302.300000,306.813000
11,302.300000,308.714000
12,302.300000,311.011000
13,302.300000,312.909000
14,302.300000,314.809000
15,302.300000,317.110000
16,302.300000,319.005000
17,302.300000,320.910000
18,302.300000,323.204000
19,302.300000,325.108000
20,302.300000,331.667000
21,302.300000,333.568000
22,302.300000,335.466000
23,302.300000,337.818000
24,302.300000,339.735000
25,302.300000,341.635000
26,302.300000,343.865000
27,302.300000,345.766000
28,302.300000,347.664000
29,300.000000,301.698000
30,300.000000,305.843000
31,300.000000,307.806000
32,300.000000,311.928000
33,300.000000,313.910000
34,300.000000,318.056000
35,300.000000,320.009000
36,302.300000,301.698000
37,305.080000,304.916000
38,305.080000,306.813000
39,305.080000,308.714000
40,305.080000,311.011000
41,305.080000,312.909000
42,305.080000,314.809000
43,305.080000,317.110000
44,305.080000,319.005000
45,305.080000,320.910000
46,305.080000,323.204000
47,305.080000,325.108000
48,305.080000,331.667000
49,305.080000,333.568000
50,305.080000,335.466000
51,305.080000,337.818000
52,305.080000,339.735000
53,305.080000,341.635000
54,305.080000,343.865000
55,305.080000,345.766000
56,305.080000,347.664000
57,302.300000,350.600000
58,305.080000,350.600000
59,305.080000,301.698000
60,302.300000,302.410000
61,302.300000,305.843000
62,302.300000,307.806000
63,302.300000,310.762000
64,302.300000,311.928000
65,302.300000,316.950000
66,302.300000,318.056000
67,302.300000,320.009000
68,302.300000,324.145000
69,302.300000,328.275000
70,302.300000,329.958000
71,302.300000,334.564000
72,302.300000,337.692000
73,302.300000,340.663000
74,302.300000,343.676000
75,302.300000,344.805000
76,302.300000,346.762000
77,302.300000,350.419000
78,295.508000,324.145000
79,295.506000,328.457000
80,295.516000,332.605000
81,295.513000,334.564000
82,295.516000,338.705000
83,295.510000,340.663000
84,295.516000,344.805000
85,295.518000,346.762000
86,295.516000,350.920000
87,300.000000,324.145000
88,300.000000,328.457000
89,300.000000,332.605000
90,300.000000,334.564000
91,300.000000,338.705000
92,300.000000,340.663000
93,300.000000,344.805000
94,300.000000,346.762000
95,300.000000,350.920000
96,302.300000,322.964000
97,302.300000,333.000000
98,302.300000,338.705000
99,301.200000,369.436000
100,302.300000,354.352000
101,301.200000,370.518000
102,299.501000,370.518000
103,297.806000,370.518000
104,296.107000,370.518000
105,294.408000,370.518000
106,292.708000,370.518000
107,301.200000,368.466000
108,301.200000,366.317000
109,299.501000,368.466000
110,297.806000,368.466000
111,296.107000,368.466000
112,294.408000,368.466000
113,292.708000,368.466000
114,299.501000,366.317000
115,296.107000,366.317000
116,294.408000,366.317000
117,292.708000,366.317000
118,299.501000,369.436000
119,297.806000,369.436000
120,296.107000,369.436000
121,294.408000,369.436000
122,292.708000,369.436000
123,300.000000,354.000000
124,302.300000,360.000000
125,302.300000,350.920000
126,298.000000,301.698000
127,298.000000,305.843000
128,298.000000,307.806000
129,298.000000,311.928000
130,298.000000,313.910000
131,298.000000,318.056000
132,298.000000,320.009000
133,298.000000,324.145000
134,298.000000,328.457000
135,298.000000,332.605000
136,298.000000,334.564000
137,298.000000,338.705000
138,298.000000,340.663000
139,298.000000,344.805000
140,298.000000,346.762000
141,298.000000,350.920000
142,302.300000,313.910000
143,297.806000,366.317000
144,300.425000,366.317000
145,300.000000,352.300000
146,296.500000,301.698000
147,296.500000,305.843000
148,296.500000,307.806000
149,296.500000,311.928000
150,296.500000,313.910000
151,296.500000,318.056000
152,296.500000,320.009000
153,296.500000,324.145000
154,296.500000,328.457000
155,296.500000,332.605000
156,296.500000,334.564000
157,296.500000,338.705000
158,296.500000,340.663000
159,296.500000,344.805000
160,296.500000,346.762000
161,296.500000,350.920000
162,297.494000,359.000000
163,297.494000,354.040000
164,291.008000,370.518000
165,291.008000,369.436000
166,291.008000,368.466000
167,290.400000,368.466000
168,291.008000,366.317000
169,290.400000,366.317000
170,289.794000,368.466000
171,289.753000,366.317000
172,300.000000,333.000000
173,298.900000,357.000000
174,298.900000,359.000000
175,300.000000,357.000000
176,301.200000,360.000000
177,298.900000,362.000000
178,301.200000,362.000000
179,298.900000,364.410000
180,301.200000,364.393000
181,298.900000,366.317000
182,297.494000,357.000000
183,292.327000,357.000000
184,292.327000,354.000000
185,292.327000,356.000000
186,290.526000,357.000000
187,290.526000,356.000000
188,290.526000,354.000000
189,295.440000,357.000000
190,297.494000,356.000000
191,288.716000,354.004000
192,288.716000,357.000000
193,288.716000,356.000000
